ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE
189797412,11/9/18,475,,,,PL 1651601,M,M,28,1,25-44,F,WHITE HISPANIC
189992103,11/14/18,475,,,,PL 1651601,M,K,75,1,18-24,M,BLACK
189714430,11/7/18,117,RECKLESS ENDANGERMENT 1,126,MISCELLANEOUS PENAL LAW,PL 1202500,F,M,26,0,45-64,M,WHITE
190067816,11/15/18,586,,,,PL 230341A,F,M,5,0,18-24,M,BLACK
190017529,11/15/18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,B,47,0,45-64,M,BLACK
189886182,11/12/18,177,,,,PL 1306504,F,K,77,0,45-64,M,WHITE
189789879,11/9/18,440,,,,PL 1553502,F,B,45,0,25-44,M,WHITE HISPANIC
189516802,11/2/18,665,,,,PL 4902001,F,K,75,0,18-24,M,ASIAN / PACIFIC ISLANDER
189678705,11/7/18,175,"SEXUAL ABUSE 3,2",233,SEX CRIMES,PL 13052A1,M,B,52,0,25-44,M,BLACK
189850062,11/11/18,,,,,,,K,73,97,25-44,M,BLACK
189928060,11/13/18,665,,,,PL 4902001,F,K,63,0,25-44,M,WHITE
189068425,10/22/18,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,K,94,0,45-64,M,BLACK
189989408,11/14/18,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200000,M,B,40,0,25-44,M,BLACK
189374181,10/30/18,153,RAPE 3,104,RAPE,PL 1302502,F,Q,112,0,18-24,M,UNKNOWN
189269917,10/27/18,153,RAPE 3,104,RAPE,PL 1302501,F,K,75,0,25-44,M,BLACK
189992109,11/14/18,263,"ARSON 2,3,4",114,ARSON,PL 1501500,F,K,71,0,45-64,F,BLACK
189020743,10/20/18,665,,,,PL 4902001,F,Q,101,0,25-44,M,BLACK
189476256,11/2/18,,,,,,,M,7,0,25-44,M,WHITE HISPANIC
186712976,8/22/18,475,,,,PL 1651601,M,Q,103,1,25-44,M,BLACK
190159603,11/19/18,155,RAPE 2,104,RAPE,PL 1303001,F,M,25,0,18-24,M,WHITE HISPANIC
189121402,10/23/18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,K,83,0,25-44,M,WHITE
189476261,11/1/18,153,RAPE 3,104,RAPE,PL 1302503,F,Q,112,0,25-44,M,BLACK
189190638,10/25/18,177,,,,PL 1306504,F,M,25,0,45-64,M,WHITE HISPANIC
189557175,11/4/18,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211300,F,K,77,0,25-44,M,BLACK
189195017,10/25/18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,S,121,0,25-44,M,WHITE
