Date,Bronx,Brooklyn (Kings),Manhattan (New York),Queens,Staten Island (Richmond),Max-Temp,Min-Temp,Weather Type
1/22/20,0,0,0,0,0,38,26,clear
1/23/20,0,0,0,0,0,46,32,clear
1/24/20,0,0,0,0,0,50,37,clear
1/25/20,0,0,0,0,0,51,39,fair
1/26/20,0,0,0,0,0,46,39,mostly cloudy
1/27/20,0,0,0,0,0,45,37,cloudy
1/28/20,0,0,0,0,0,43,37,cloudy
1/29/20,0,0,0,0,0,40,31,fair
1/30/20,0,0,0,0,0,37,25,cloudy
1/31/20,0,0,0,0,0,43,34,cloudy
2/1/20,0,0,0,0,0,43,37,cloudy
2/2/20,0,0,0,0,0,44,35,rain shower
2/3/20,0,0,0,0,0,56,37,fair
2/4/20,0,0,0,0,0,59,43,cloudy
2/5/20,0,0,0,0,0,55,40,cloudy
2/6/20,0,0,0,0,0,41,36,fog
2/7/20,0,0,0,0,0,55,33,cloudy
2/8/20,0,0,0,0,0,40,30,fair
2/9/20,0,0,0,0,0,42,31,partly cloudy
2/10/20,0,0,0,0,0,47,42,light rain
2/11/20,0,0,0,0,0,48,43,cloudy
2/12/20,0,0,0,0,0,46,38,showers in the vicinity
2/13/20,0,0,0,0,0,44,32,mostly cloudy
2/14/20,0,0,0,0,0,40,19,fair
2/15/20,0,0,0,0,0,30,15,clear
2/16/20,0,0,0,0,0,43,29,cloudy
2/17/20,0,0,0,0,0,50,38,fair
2/18/20,0,0,0,0,0,48,38,cloudy
2/19/20,0,0,0,0,0,48,33,clear
2/20/20,0,0,0,0,0,35,26,clear
2/21/20,0,0,0,0,0,35,20,clear
2/22/20,0,0,0,0,0,50,30,clear
2/23/20,0,0,0,0,0,56,38,clear
2/24/20,0,0,0,0,0,61,41,cloudy
2/25/20,0,0,0,0,0,52,46,cloudy
2/26/20,0,0,0,0,0,48,45,cloudy
2/27/20,0,0,0,0,0,44,31,fair
2/28/20,0,0,0,0,0,41,29,mostly cloudy
2/29/20,0,0,0,0,0,34,26,fair
3/1/20,0,0,0,0,0,43,25,clear
3/2/20,0,0,0,0,0,57,39,clear
3/3/20,0,0,0,0,0,60,49,rain
3/4/20,0,0,0,0,0,55,45,cloudy
3/5/20,0,1,1,0,0,51,39,clear
3/6/20,0,1,2,1,0,45,37,light rain
3/7/20,0,4,5,2,0,48,36,clear
3/8/20,0,4,5,2,0,59,35,clear
3/9/20,1,6,5,3,0,71,46,clear
3/10/20,5,7,12,3,0,65,54,cloudy
3/11/20,5,14,24,7,1,59,43,clear
3/12/20,7,16,27,12,2,49,44,cloudy
3/13/20,10,24,45,27,6,69,45,clear
3/14/20,20,41,84,57,11,55,44,cloudy
3/15/20,28,58,112,75,14,53,42,clear
3/16/20,57,84,172,124,20,45,33,cloudy
3/17/20,86,123,241,162,31,54,41,cloudy
3/18/20,209,387,402,285,57,54,42,partly cloudy
3/19/20,363,660,737,621,90,52,41,cloudy
3/20/20,554,1334,1174,1140,206,76,47,mostly cloudy
3/21/20,851,1872,1544,1631,315,68,42,mostly cloudy
3/22/20,1218,2765,2066,2474,522,44,33,clear
3/23/20,1824,3467,2673,3626,715,41,36,cloudy
3/24/20,2279,4167,3078,4465,915,54,36,clear
3/25/20,2890,4946,3520,5475,1025,45,40,cloudy
3/26/20,3728,5701,4062,6713,1189,58,37,clear
3/27/20,4557,6807,4585,8037,1412,67,50,clear
3/28/20,5403,8045,5216,9275,1827,54,44,cloudy
3/29/20,6304,9018,5806,10411,2229,47,45,cloudy
3/30/20,6962,10029,6228,11669,2565,52,42,cloudy
3/31/20,7766,11917,6876,13691,2889,48,41,cloudy
4/1/20,8861,13115,7373,14902,3188,55,38,clear
4/2/20,9927,14304,7843,16268,3467,57,38,cloudy
4/3/20,11086,15700,8452,18167,3754,52,45,cloudy
4/4/20,12315,17504,9300,20114,4073,60,46,cloudy
4/5/20,13368,18558,9898,21436,4291,64,47,fair
4/6/20,14327,19702,10440,23133,4579,66,49,clear
4/7/20,15348,20879,11012,24840,4797,66,52,cloudy
4/8/20,16626,22082,11504,26248,5343,65,50,clear
4/9/20,17792,23394,12106,27752,5984,59,47,clear
4/10/20,19160,24715,12722,29303,6484,48,37,fair
4/11/20,20477,26243,13437,31291,6860,55,38,clear
4/12/20,21441,27471,14145,32835,7316,62,44,clear
4/13/20,22205,28404,14501,33985,7668,66,53,clear
4/14/20,23266,29306,14880,35053,7960,58,47,cloudy
4/15/20,24653,31969,16617,36765,8298,52,42,fair
4/16/20,25932,33521,17091,37918,8684,48,39,partly cloudy
4/17/20,27035,34705,17490,39091,9031,51,36,rain
4/18/20,28019,35763,17932,40216,9333,47,41,clear
4/19/20,28823,36482,18220,41237,9674,62,40,partly cloudy
4/20/20,29372,37030,18468,42023,9913,56,49,clear
4/21/20,29989,37694,18699,42822,10121,60,40,clear
4/22/20,30868,38481,19025,43713,10345,51,36,clear
4/23/20,31659,39354,19348,44904,10590,51,40,rain
4/24/20,32701,40648,19854,46387,10883,49,42,clear
4/25/20,34183,41660,20280,47861,11129,64,44,clear
4/26/20,34970,42487,20773,48745,11283,51,43,cloudy
4/27/20,35556,43014,21097,49399,11423,49,39,partly cloudy
4/28/20,35994,43587,21312,49929,11516,66,42,clear
4/29/20,36600,44236,21604,50741,11660,57,48,cloudy
4/30/20,37244,44872,21920,51631,11811,61,50,rain
5/1/20,37785,45519,22175,52274,11937,65,54,cloudy
5/2/20,38450,46275,22496,53039,12094,73,51,clear
5/3/20,38916,46839,22741,53640,12195,79,56,fair
5/4/20,39223,47183,22900,54090,12255,71,50,cloudy
5/5/20,39476,47579,23054,54448,12317,62,46,clear
5/6/20,39839,47974,23257,54880,12401,54,45,cloudy
5/7/20,40181,48550,23529,55450,12506,67,46,mostly cloudy
5/8/20,40533,48998,23730,55944,12578,59,42,rain
5/9/20,40804,49461,23881,56493,12650,47,34,clear
5/10/20,41059,49817,23977,56862,12702,63,39,clear
5/11/20,41296,50072,24062,57180,12747,60,46,mostly cloudy
5/12/20,41441,50331,24191,57391,12769,59,43,cloudy
5/13/20,41677,50667,24348,57748,12810,63,41,clear
5/14/20,41980,51095,24525,58084,12861,65,48,cloudy
5/15/20,42519,51581,24832,58516,12909,84,59,rain
5/16/20,42812,51991,24982,58841,12974,76,63,clear
5/17/20,43022,52298,25130,59132,13011,67,55,cloudy
5/18/20,43158,52485,25216,59324,13047,69,55,cloudy
5/19/20,43270,52681,25293,59508,13069,67,54,clear
5/20/20,43418,52889,25391,59752,13100,65,50,clear
5/21/20,43603,53385,25522,60025,13140,67,47,clear
5/22/20,43766,53639,25672,60236,13171,75,54,cloudy
5/23/20,43921,53902,25806,60422,13215,67,55,cloudy
5/24/20,44137,54175,25909,60636,13266,68,52,clear
5/25/20,44247,54360,26009,60828,13287,71,55,clear
5/26/20,44364,54560,26092,60960,13325,76,59,clear
5/27/20,44503,54779,26213,61125,13348,79,60,mostly cloudy
5/28/20,44753,55147,26347,61400,13404,76,64,cloudy
5/29/20,44974,55446,26480,61644,13455,81,67,mostly cloudy
5/30/20,45116,55727,26576,61827,13505,81,68,mostly cloudy
5/31/20,45253,55900,26653,61975,13522,70,57,clear
6/1/20,45359,56053,26721,62094,13537,70,52,mostly cloudy
6/2/20,45466,56242,26814,62293,13562,73,59,cloudy
6/3/20,45571,56405,26886,62425,13585,78,61,partly cloudy
6/4/20,45688,56587,26968,62542,13621,85,67,light rain
6/5/20,45778,56770,27037,62692,13663,79,69,light rain
6/6/20,45882,56966,27122,62850,13691,87,70,clear
6/7/20,45980,57131,27178,62963,13717,76,63,partly cloudy
6/8/20,46052,57260,27217,63097,13727,79,60,clear
6/9/20,46127,57367,27258,63194,13747,88,66,clear
