Date,Bronx Cumulative,Bronx,Brooklyn (Kings) Cumulative ,Brooklyn (Kings),Manhattan (New York) Cumulative,Manhattan (New York),Queens Cumulative,Queens,Staten Island (Richmond) Cumulative,Staten Island (Richmond),Max-Temp,Min-Temp,Weather Type
1/22/20,0,0,0,0,0,0,0,0,0,0,38,26,clear
1/23/20,0,0,0,0,0,0,0,0,0,0,46,32,clear
1/24/20,0,0,0,0,0,0,0,0,0,0,50,37,clear
1/25/20,0,0,0,0,0,0,0,0,0,0,51,39,fair
1/26/20,0,0,0,0,0,0,0,0,0,0,46,39,mostly cloudy
1/27/20,0,0,0,0,0,0,0,0,0,0,45,37,cloudy
1/28/20,0,0,0,0,0,0,0,0,0,0,43,37,cloudy
1/29/20,0,0,0,0,0,0,0,0,0,0,40,31,fair
1/30/20,0,0,0,0,0,0,0,0,0,0,37,25,cloudy
1/31/20,0,0,0,0,0,0,0,0,0,0,43,34,cloudy
2/1/20,0,0,0,0,0,0,0,0,0,0,43,37,cloudy
2/2/20,0,0,0,0,0,0,0,0,0,0,44,35,rain shower
2/3/20,0,0,0,0,0,0,0,0,0,0,56,37,fair
2/4/20,0,0,0,0,0,0,0,0,0,0,59,43,cloudy
2/5/20,0,0,0,0,0,0,0,0,0,0,55,40,cloudy
2/6/20,0,0,0,0,0,0,0,0,0,0,41,36,fog
2/7/20,0,0,0,0,0,0,0,0,0,0,55,33,cloudy
2/8/20,0,0,0,0,0,0,0,0,0,0,40,30,fair
2/9/20,0,0,0,0,0,0,0,0,0,0,42,31,partly cloudy
2/10/20,0,0,0,0,0,0,0,0,0,0,47,42,light rain
2/11/20,0,0,0,0,0,0,0,0,0,0,48,43,cloudy
2/12/20,0,0,0,0,0,0,0,0,0,0,46,38,showers in the vicinity
2/13/20,0,0,0,0,0,0,0,0,0,0,44,32,mostly cloudy
2/14/20,0,0,0,0,0,0,0,0,0,0,40,19,fair
2/15/20,0,0,0,0,0,0,0,0,0,0,30,15,clear
2/16/20,0,0,0,0,0,0,0,0,0,0,43,29,cloudy
2/17/20,0,0,0,0,0,0,0,0,0,0,50,38,fair
2/18/20,0,0,0,0,0,0,0,0,0,0,48,38,cloudy
2/19/20,0,0,0,0,0,0,0,0,0,0,48,33,clear
2/20/20,0,0,0,0,0,0,0,0,0,0,35,26,clear
2/21/20,0,0,0,0,0,0,0,0,0,0,35,20,clear
2/22/20,0,0,0,0,0,0,0,0,0,0,50,30,clear
2/23/20,0,0,0,0,0,0,0,0,0,0,56,38,clear
2/24/20,0,0,0,0,0,0,0,0,0,0,61,41,cloudy
2/25/20,0,0,0,0,0,0,0,0,0,0,52,46,cloudy
2/26/20,0,0,0,0,0,0,0,0,0,0,48,45,cloudy
2/27/20,0,0,0,0,0,0,0,0,0,0,44,31,fair
2/28/20,0,0,0,0,0,0,0,0,0,0,41,29,mostly cloudy
2/29/20,0,0,0,0,0,0,0,0,0,0,34,26,fair
3/1/20,0,0,0,0,0,0,0,0,0,0,43,25,clear
3/2/20,0,0,0,0,0,0,0,0,0,0,57,39,clear
3/3/20,0,0,0,0,0,0,0,0,0,0,60,49,rain
3/4/20,0,0,0,0,0,0,0,0,0,0,55,45,cloudy
3/5/20,0,0,1,1,1,1,0,0,0,0,51,39,clear
3/6/20,0,0,1,0,2,1,1,1,0,0,45,37,light rain
3/7/20,0,0,4,3,5,3,2,1,0,0,48,36,clear
3/8/20,0,0,4,0,5,0,2,0,0,0,59,35,clear
3/9/20,1,1,6,2,5,0,3,1,0,0,71,46,clear
3/10/20,5,4,7,1,12,7,3,0,0,0,65,54,cloudy
3/11/20,5,0,14,7,24,12,7,4,1,1,59,43,clear
3/12/20,7,2,16,2,27,3,12,5,2,1,49,44,cloudy
3/13/20,10,3,24,8,45,18,27,15,6,4,69,45,clear
3/14/20,20,10,41,17,84,39,57,30,11,5,55,44,cloudy
3/15/20,28,8,58,17,112,28,75,18,14,3,53,42,clear
3/16/20,57,29,84,26,172,60,124,49,20,6,45,33,cloudy
3/17/20,86,29,123,39,241,69,162,38,31,11,54,41,cloudy
3/18/20,209,123,387,264,402,161,285,123,57,26,54,42,partly cloudy
3/19/20,363,154,660,273,737,335,621,336,90,33,52,41,cloudy
3/20/20,554,191,1334,674,1174,437,1140,519,206,116,76,47,mostly cloudy
3/21/20,851,297,1872,538,1544,370,1631,491,315,109,68,42,mostly cloudy
3/22/20,1218,367,2765,893,2066,522,2474,843,522,207,44,33,clear
3/23/20,1824,606,3467,702,2673,607,3626,1152,715,193,41,36,cloudy
3/24/20,2279,455,4167,700,3078,405,4465,839,915,200,54,36,clear
3/25/20,2890,611,4946,779,3520,442,5475,1010,1025,110,45,40,cloudy
3/26/20,3728,838,5701,755,4062,542,6713,1238,1189,164,58,37,clear
3/27/20,4557,829,6807,1106,4585,523,8037,1324,1412,223,67,50,clear
3/28/20,5403,846,8045,1238,5216,631,9275,1238,1827,415,54,44,cloudy
3/29/20,6304,901,9018,973,5806,590,10411,1136,2229,402,47,45,cloudy
3/30/20,6962,658,10029,1011,6228,422,11669,1258,2565,336,52,42,cloudy
3/31/20,7766,804,11917,1888,6876,648,13691,2022,2889,324,48,41,cloudy
4/1/20,8861,1095,13115,1198,7373,497,14902,1211,3188,299,55,38,clear
4/2/20,9927,1066,14304,1189,7843,470,16268,1366,3467,279,57,38,cloudy
4/3/20,11086,1159,15700,1396,8452,609,18167,1899,3754,287,52,45,cloudy
4/4/20,12315,1229,17504,1804,9300,848,20114,1947,4073,319,60,46,cloudy
4/5/20,13368,1053,18558,1054,9898,598,21436,1322,4291,218,64,47,fair
4/6/20,14327,959,19702,1144,10440,542,23133,1697,4579,288,66,49,clear
4/7/20,15348,1021,20879,1177,11012,572,24840,1707,4797,218,66,52,cloudy
4/8/20,16626,1278,22082,1203,11504,492,26248,1408,5343,546,65,50,clear
4/9/20,17792,1166,23394,1312,12106,602,27752,1504,5984,641,59,47,clear
4/10/20,19160,1368,24715,1321,12722,616,29303,1551,6484,500,48,37,fair
4/11/20,20477,1317,26243,1528,13437,715,31291,1988,6860,376,55,38,clear
4/12/20,21441,964,27471,1228,14145,708,32835,1544,7316,456,62,44,clear
4/13/20,22205,764,28404,933,14501,356,33985,1150,7668,352,66,53,clear
4/14/20,23266,1061,29306,902,14880,379,35053,1068,7960,292,58,47,cloudy
4/15/20,24653,1387,31969,2663,16617,1737,36765,1712,8298,338,52,42,fair
4/16/20,25932,1279,33521,1552,17091,474,37918,1153,8684,386,48,39,partly cloudy
4/17/20,27035,1103,34705,1184,17490,399,39091,1173,9031,347,51,36,rain
4/18/20,28019,984,35763,1058,17932,442,40216,1125,9333,302,47,41,clear
4/19/20,28823,804,36482,719,18220,288,41237,1021,9674,341,62,40,partly cloudy
4/20/20,29372,549,37030,548,18468,248,42023,786,9913,239,56,49,clear
4/21/20,29989,617,37694,664,18699,231,42822,799,10121,208,60,40,clear
4/22/20,30868,879,38481,787,19025,326,43713,891,10345,224,51,36,clear
4/23/20,31659,791,39354,873,19348,323,44904,1191,10590,245,51,40,rain
4/24/20,32701,1042,40648,1294,19854,506,46387,1483,10883,293,49,42,clear
4/25/20,34183,1482,41660,1012,20280,426,47861,1474,11129,246,64,44,clear
4/26/20,34970,787,42487,827,20773,493,48745,884,11283,154,51,43,cloudy
4/27/20,35556,586,43014,527,21097,324,49399,654,11423,140,49,39,partly cloudy
4/28/20,35994,438,43587,573,21312,215,49929,530,11516,93,66,42,clear
4/29/20,36600,606,44236,649,21604,292,50741,812,11660,144,57,48,cloudy
4/30/20,37244,644,44872,636,21920,316,51631,890,11811,151,61,50,rain
5/1/20,37785,541,45519,647,22175,255,52274,643,11937,126,65,54,cloudy
5/2/20,38450,665,46275,756,22496,321,53039,765,12094,157,73,51,clear
5/3/20,38916,466,46839,564,22741,245,53640,601,12195,101,79,56,fair
5/4/20,39223,307,47183,344,22900,159,54090,450,12255,60,71,50,cloudy
5/5/20,39476,253,47579,396,23054,154,54448,358,12317,62,62,46,clear
5/6/20,39839,363,47974,395,23257,203,54880,432,12401,84,54,45,cloudy
